starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 04 17:57:16 2016	1457110636	0	152	153	152
Fri Mar 04 17:57:16 2016	1457110636	0	152	153	152
Fri Mar 04 17:57:16 2016	1457110636	0	153	154	153
Fri Mar 04 17:57:16 2016	1457110636	0	274	275	274
Fri Mar 04 17:57:16 2016	1457110636	1	274	275	274
Fri Mar 04 17:57:16 2016	1457110636	0	275	276	275
Fri Mar 04 17:57:17 2016	1457110637	0	293	293	293
Fri Mar 04 17:57:17 2016	1457110637	0	299	299	299
Fri Mar 04 17:57:17 2016	1457110637	0	300	300	300
Fri Mar 04 17:57:17 2016	1457110637	0	303	303	303
Fri Mar 04 17:57:16 2016	1457110636	0	305	305	305
Fri Mar 04 17:57:17 2016	1457110637	0	307	307	307
Fri Mar 04 17:57:23 2016	1457110643	0	315	315	315
Fri Mar 04 17:57:23 2016	1457110643	0	325	325	325
Fri Mar 04 17:57:17 2016	1457110637	0	327	327	327
Fri Mar 04 17:57:17 2016	1457110637	0	332	332	332
Fri Mar 04 17:57:17 2016	1457110637	0	332	332	332
Fri Mar 04 17:57:22 2016	1457110642	0	337	337	337
Fri Mar 04 17:57:18 2016	1457110638	0	338	338	338
Fri Mar 04 17:57:22 2016	1457110642	0	340	341	340
Fri Mar 04 17:57:17 2016	1457110637	0	342	342	342
Fri Mar 04 17:57:22 2016	1457110642	0	345	345	345
Fri Mar 04 17:57:22 2016	1457110642	0	345	345	345
Fri Mar 04 17:57:18 2016	1457110638	0	346	346	345
Fri Mar 04 17:57:23 2016	1457110643	0	346	346	346
Fri Mar 04 17:57:18 2016	1457110638	0	346	346	346
Fri Mar 04 17:57:18 2016	1457110638	0	346	346	346
Fri Mar 04 17:57:18 2016	1457110638	0	347	347	347
Fri Mar 04 17:57:18 2016	1457110638	0	348	348	348
Fri Mar 04 17:57:18 2016	1457110638	0	348	348	348
Fri Mar 04 17:57:22 2016	1457110642	0	349	349	349
Fri Mar 04 17:57:18 2016	1457110638	0	350	350	350
Fri Mar 04 17:57:18 2016	1457110638	0	350	350	350
Fri Mar 04 17:57:23 2016	1457110643	0	350	350	350
Fri Mar 04 17:57:18 2016	1457110638	0	351	351	350
Fri Mar 04 17:57:23 2016	1457110643	0	351	351	351
Fri Mar 04 17:57:18 2016	1457110638	0	351	351	351
Fri Mar 04 17:57:21 2016	1457110641	0	351	351	351
Fri Mar 04 17:57:18 2016	1457110638	0	352	352	352
Fri Mar 04 17:57:22 2016	1457110642	0	353	353	352
Fri Mar 04 17:57:23 2016	1457110643	0	353	353	353
Fri Mar 04 17:57:17 2016	1457110637	0	354	354	354
Fri Mar 04 17:57:19 2016	1457110639	0	355	355	355
Fri Mar 04 17:57:17 2016	1457110637	0	355	355	355
Fri Mar 04 17:57:23 2016	1457110643	0	355	355	355
Fri Mar 04 17:57:17 2016	1457110637	0	355	355	355
Fri Mar 04 17:57:18 2016	1457110638	0	355	356	355
Fri Mar 04 17:57:18 2016	1457110638	0	356	356	356
Fri Mar 04 17:57:18 2016	1457110638	0	356	356	356
Fri Mar 04 17:57:22 2016	1457110642	0	356	356	356
Fri Mar 04 17:57:18 2016	1457110638	0	356	356	356
Fri Mar 04 17:57:18 2016	1457110638	0	356	356	356
Fri Mar 04 17:57:22 2016	1457110642	0	357	357	357
Fri Mar 04 17:57:18 2016	1457110638	0	357	357	357
Fri Mar 04 17:57:18 2016	1457110638	0	357	357	357
Fri Mar 04 17:57:18 2016	1457110638	0	357	357	357
Fri Mar 04 17:57:22 2016	1457110642	0	357	357	357
Fri Mar 04 17:57:18 2016	1457110638	0	357	358	357
Fri Mar 04 17:57:23 2016	1457110643	0	358	358	358
Fri Mar 04 17:57:19 2016	1457110639	0	358	358	358
Fri Mar 04 17:57:18 2016	1457110638	0	358	358	358
Fri Mar 04 17:57:20 2016	1457110640	0	358	358	358
Fri Mar 04 17:57:20 2016	1457110640	0	358	358	358
Fri Mar 04 17:57:16 2016	1457110636	0	358	358	358
Fri Mar 04 17:57:22 2016	1457110642	0	359	359	358
Fri Mar 04 17:57:23 2016	1457110643	0	359	359	359
Fri Mar 04 17:57:16 2016	1457110636	0	359	359	359
Fri Mar 04 17:57:22 2016	1457110642	0	359	359	359
Fri Mar 04 17:57:23 2016	1457110643	0	359	359	359
Fri Mar 04 17:57:21 2016	1457110641	0	359	360	359
Fri Mar 04 17:57:18 2016	1457110638	0	360	360	360
Fri Mar 04 17:57:19 2016	1457110639	0	360	360	360
Fri Mar 04 17:57:19 2016	1457110639	0	361	361	361
Fri Mar 04 17:57:20 2016	1457110640	0	361	361	361
Fri Mar 04 17:57:18 2016	1457110638	0	361	361	361
Fri Mar 04 17:57:23 2016	1457110643	0	361	361	361
Fri Mar 04 17:57:21 2016	1457110641	0	361	361	361
Fri Mar 04 17:57:19 2016	1457110639	0	361	361	361
Fri Mar 04 17:57:20 2016	1457110640	0	361	361	361
Fri Mar 04 17:57:19 2016	1457110639	0	362	362	362
Fri Mar 04 17:57:18 2016	1457110638	0	362	362	362
Fri Mar 04 17:57:23 2016	1457110643	0	362	362	362
Fri Mar 04 17:57:19 2016	1457110639	0	362	362	362
Fri Mar 04 17:57:22 2016	1457110642	0	363	363	362
Fri Mar 04 17:57:19 2016	1457110639	0	363	363	363
Fri Mar 04 17:57:23 2016	1457110643	0	363	363	363
Fri Mar 04 17:57:23 2016	1457110643	0	363	363	363
Fri Mar 04 17:57:20 2016	1457110640	0	363	363	363
Fri Mar 04 17:57:17 2016	1457110637	0	364	364	363
Fri Mar 04 17:57:22 2016	1457110642	0	365	365	365
Fri Mar 04 17:57:22 2016	1457110642	0	365	365	365
Fri Mar 04 17:57:22 2016	1457110642	0	365	365	365
Fri Mar 04 17:57:19 2016	1457110639	0	366	366	366
Fri Mar 04 17:57:21 2016	1457110641	0	366	367	366
Fri Mar 04 17:57:19 2016	1457110639	0	367	367	367
Fri Mar 04 17:57:22 2016	1457110642	0	367	367	367
Fri Mar 04 17:57:21 2016	1457110641	0	368	368	367
Fri Mar 04 17:57:21 2016	1457110641	0	368	368	368
Fri Mar 04 17:57:22 2016	1457110642	0	368	368	368
Fri Mar 04 17:57:17 2016	1457110637	0	368	368	368
Fri Mar 04 17:57:19 2016	1457110639	0	368	368	368
Fri Mar 04 17:57:19 2016	1457110639	0	368	368	368
Fri Mar 04 17:57:19 2016	1457110639	0	369	369	369
Fri Mar 04 17:57:19 2016	1457110639	0	369	369	369
Fri Mar 04 17:57:22 2016	1457110642	0	369	369	369
Fri Mar 04 17:57:20 2016	1457110640	0	369	369	369
Fri Mar 04 17:57:23 2016	1457110643	0	369	369	369
Fri Mar 04 17:57:19 2016	1457110639	0	370	370	370
Fri Mar 04 17:57:18 2016	1457110638	0	370	370	370
Fri Mar 04 17:57:21 2016	1457110641	0	370	370	370
Fri Mar 04 17:57:22 2016	1457110642	0	370	370	370
Fri Mar 04 17:57:19 2016	1457110639	0	371	371	371
Fri Mar 04 17:57:19 2016	1457110639	0	371	371	371
Fri Mar 04 17:57:21 2016	1457110641	0	371	371	371
Fri Mar 04 17:57:21 2016	1457110641	0	372	372	372
Fri Mar 04 17:57:19 2016	1457110639	0	372	373	372
Fri Mar 04 17:57:21 2016	1457110641	0	373	373	373
Fri Mar 04 17:57:22 2016	1457110642	0	373	373	373
Fri Mar 04 17:57:22 2016	1457110642	0	373	373	373
Fri Mar 04 17:57:21 2016	1457110641	0	374	374	374
Fri Mar 04 17:57:19 2016	1457110639	0	374	374	374
Fri Mar 04 17:57:23 2016	1457110643	0	374	374	374
Fri Mar 04 17:57:20 2016	1457110640	0	374	374	374
Fri Mar 04 17:57:20 2016	1457110640	0	374	374	374
Fri Mar 04 17:57:20 2016	1457110640	0	375	375	375
Fri Mar 04 17:57:22 2016	1457110642	0	376	376	376
Fri Mar 04 17:57:20 2016	1457110640	0	376	376	376
Fri Mar 04 17:57:21 2016	1457110641	0	376	376	376
Fri Mar 04 17:57:20 2016	1457110640	0	376	376	376
Fri Mar 04 17:57:22 2016	1457110642	0	376	377	376
Fri Mar 04 17:57:21 2016	1457110641	0	377	377	377
Fri Mar 04 17:57:21 2016	1457110641	0	378	378	378
Fri Mar 04 17:57:20 2016	1457110640	0	378	378	378
Fri Mar 04 17:57:19 2016	1457110639	0	379	379	379
Fri Mar 04 17:57:20 2016	1457110640	0	379	379	379
Fri Mar 04 17:57:21 2016	1457110641	0	379	379	379
Fri Mar 04 17:57:18 2016	1457110638	0	379	379	379
Fri Mar 04 17:57:18 2016	1457110638	0	379	379	379
Fri Mar 04 17:57:20 2016	1457110640	0	380	380	379
Fri Mar 04 17:57:17 2016	1457110637	0	380	380	380
Fri Mar 04 17:57:16 2016	1457110636	0	380	380	380
Fri Mar 04 17:57:21 2016	1457110641	0	381	381	381
Fri Mar 04 17:57:20 2016	1457110640	0	381	381	381
Fri Mar 04 17:57:17 2016	1457110637	0	382	382	382
Fri Mar 04 17:57:21 2016	1457110641	0	382	382	382
Fri Mar 04 17:57:16 2016	1457110636	0	383	383	383
Fri Mar 04 17:57:20 2016	1457110640	0	383	384	383
Fri Mar 04 17:57:19 2016	1457110639	0	384	384	384
Fri Mar 04 17:57:19 2016	1457110639	0	384	384	384
Fri Mar 04 17:57:21 2016	1457110641	0	385	385	384
Fri Mar 04 17:57:20 2016	1457110640	0	385	385	384
Fri Mar 04 17:57:20 2016	1457110640	0	385	385	384
Fri Mar 04 17:57:21 2016	1457110641	0	385	385	385
Fri Mar 04 17:57:21 2016	1457110641	0	386	386	386
Fri Mar 04 17:57:22 2016	1457110642	0	387	387	387
Fri Mar 04 17:57:16 2016	1457110636	0	387	387	387
Fri Mar 04 17:57:19 2016	1457110639	0	388	388	388
Fri Mar 04 17:57:18 2016	1457110638	0	388	388	388
Fri Mar 04 17:57:20 2016	1457110640	0	388	388	388
Fri Mar 04 17:57:21 2016	1457110641	0	388	389	388
Fri Mar 04 17:57:22 2016	1457110642	0	389	389	389
Fri Mar 04 17:57:21 2016	1457110641	0	390	390	390
Fri Mar 04 17:57:21 2016	1457110641	0	390	390	390
Fri Mar 04 17:57:21 2016	1457110641	0	391	391	391
Fri Mar 04 17:57:20 2016	1457110640	0	393	393	393
Fri Mar 04 17:57:20 2016	1457110640	0	393	393	393
Fri Mar 04 17:57:16 2016	1457110636	0	393	393	393
Fri Mar 04 17:57:19 2016	1457110639	0	393	393	393
Fri Mar 04 17:57:16 2016	1457110636	0	394	394	394
Fri Mar 04 17:57:16 2016	1457110636	0	395	395	395
Fri Mar 04 17:57:21 2016	1457110641	0	396	396	396
Fri Mar 04 17:57:17 2016	1457110637	0	397	397	397
Fri Mar 04 17:57:21 2016	1457110641	0	397	397	396
Fri Mar 04 17:57:21 2016	1457110641	0	399	399	399
Fri Mar 04 17:57:17 2016	1457110637	0	399	399	399
Fri Mar 04 17:57:22 2016	1457110642	0	399	399	399
Fri Mar 04 17:57:19 2016	1457110639	0	401	401	401
Fri Mar 04 17:57:21 2016	1457110641	0	401	401	401
Fri Mar 04 17:57:20 2016	1457110640	0	401	401	401
Fri Mar 04 17:57:16 2016	1457110636	0	404	404	404
Fri Mar 04 17:57:16 2016	1457110636	0	405	405	405
Fri Mar 04 17:57:19 2016	1457110639	0	406	406	406
Fri Mar 04 17:57:16 2016	1457110636	0	410	410	410
Fri Mar 04 17:57:17 2016	1457110637	0	412	412	412
Fri Mar 04 17:57:20 2016	1457110640	0	412	412	412
Fri Mar 04 17:57:20 2016	1457110640	0	413	413	412
Fri Mar 04 17:57:20 2016	1457110640	0	413	413	413
Fri Mar 04 17:57:20 2016	1457110640	0	414	414	414
Fri Mar 04 17:57:17 2016	1457110637	0	417	417	417
Fri Mar 04 17:57:17 2016	1457110637	0	422	422	422
Fri Mar 04 17:57:17 2016	1457110637	0	422	422	422
Fri Mar 04 17:57:17 2016	1457110637	0	422	422	422
Fri Mar 04 17:57:17 2016	1457110637	0	424	424	424
Fri Mar 04 17:57:16 2016	1457110636	0	426	426	426
Fri Mar 04 17:57:17 2016	1457110637	0	429	429	428
Fri Mar 04 17:57:16 2016	1457110636	0	429	429	429
Fri Mar 04 17:57:17 2016	1457110637	0	439	439	439
Fri Mar 04 17:57:17 2016	1457110637	0	444	444	444
Fri Mar 04 17:57:16 2016	1457110636	0	501	501	501
Fri Mar 04 17:57:16 2016	1457110636	0	511	511	511
